brand,model,category,stability,cushioning,stack_heel_mm,drop_mm,weight_g,widths,toebox,plate,best_for,heavier_runner_ok,beginner_friendly,durability,rrp_gbp,retailer,retailer_url,awin_mid,wg_programid,partnerize_camref,discount_percent,discount_code,affiliate_url,image_url,review_url,one_liner,status
Hoka,Gaviota 6,stability,stability,plush,39,6,283,standard;wide,wide,none,easy_miles;long_run;comfort;first_shoe;walking;gym,yes,yes,high,160,SportsShoes,https://www.sportsshoes.com/product/hok3621/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/91125/511599/HOK3621_1000_1__26307.1782202647.jpg,https://runrepeat.com/uk/hoka-gaviota-6,Maximum support and cushioning together. Built for feet that roll inwards a lot.,current
Hoka,Cielo X1 3.0,race,neutral,balanced,38,7,213,standard,narrow,carbon,speed_work;race_day,no,no,low,250,SportsShoes,https://www.sportsshoes.com/product/hok3382/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/85736/474124/HOK3382_1000_1__24811.1769588543.jpg,https://runrepeat.com/uk/hoka-cielo-x-1-3-0,"Hoka's fastest carbon race shoe. Aggressive, expensive and only for race day.",current
Hoka,Speedgoat 7,trail,neutral,balanced,40,5,275,standard;wide,medium,none,trail;easy_miles;long_run,yes,yes,high,145,SportsShoes,https://www.sportsshoes.com/product/hok3633/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/92802/523110/HOK3633_1000_1__41204.1786025811.jpg,https://runrepeat.com/uk/hoka-speedgoat-7,The default trail shoe for muddy UK paths. Loads of grip and cushioning.,current
Hoka,Challenger 8,trail,neutral,balanced,40,8,287,standard;wide,medium,none,trail;easy_miles;long_run,yes,yes,high,130,SportsShoes,https://www.sportsshoes.com/product/hok3638/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/91436/513748/HOK3638_1000_1__17305.1782836172.jpg,https://runrepeat.com/uk/hoka-challenger-8,"Half road shoe, half trail shoe. Ideal if your runs mix pavement and parks.",current
Brooks,Ghost 18,daily_trainer,neutral,balanced,36,12,289,standard;wide;extra_wide,medium,none,easy_miles;long_run;first_shoe;walking;gym,yes,yes,high,135,SportsShoes,https://www.sportsshoes.com/product/bro3578/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/90494/506350/BRO3578_1000_1__82217.1779887715.jpg,https://runrepeat.com/uk/brooks-ghost-18,"The safe, do everything trainer. If you are unsure what to buy, start here.",current
Brooks,Ghost Max 4,max_cushion,mild_support,plush,39,6,292,standard;wide,medium,none,easy_miles;long_run;comfort;first_shoe;walking,yes,yes,high,145,SportsShoes,https://www.sportsshoes.com/product/bro3654/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/91491/514037/BRO3654_1000_1__02440.1783437528.jpg,https://runrepeat.com/uk/brooks-ghost-max-4,"A big, wide, forgiving platform. Very stable underfoot and kind to sore joints.",current
Brooks,Glycerin 23,max_cushion,neutral,plush,38,8,297,standard;wide,medium,none,easy_miles;long_run;comfort;walking,yes,yes,high,165,SportsShoes,https://www.sportsshoes.com/product/bro3534/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/85108/469451/BRO3534_1000_1__49489.1767774029.jpg,https://runrepeat.com/uk/brooks-glycerin-23,Brooks at its softest. A pricey but very comfortable shoe for steady miles.,current
Brooks,Adrenaline GTS 25,stability,stability,balanced,36,10,295,narrow;standard;wide;extra_wide,medium,none,easy_miles;long_run;first_shoe;walking,yes,yes,high,145,SportsShoes,https://www.sportsshoes.com/product/bro3411/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/84261/462876/BRO3411_1000_1__05771.1764238887.jpg,https://runrepeat.com/uk/brooks-adrenaline-gts-25,The classic support shoe. Sold in more widths than almost anything else out there.,current
Brooks,Launch 12,daily_trainer,neutral,firm,33,8,249,standard,medium,none,easy_miles;first_shoe;gym,no,yes,medium,110,SportsShoes,https://www.sportsshoes.com/product/bro3520/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/84896/467971/BRO3520_1000_1__14529.1766146888.jpg,https://runrepeat.com/uk/brooks-launch-12,"The cheapest sensible Brooks. Firmer and lighter, and fine for a first pair.",current
Brooks,Hyperion Max 4,tempo,neutral,balanced,45,6,286,standard,medium,nylon,easy_miles;long_run;speed_work,yes,no,medium,170,SportsShoes,https://www.sportsshoes.com/product/bro3657/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/91500/514118/BRO3657_1000_1__75055.1782983910.jpg,https://runrepeat.com/uk/brooks-hyperion-max-4,"Tall, bouncy and rolls you forward. A cheaper stand in for a race shoe.",current
Brooks,Hyperion Elite 6,race,neutral,balanced,40,7,192,standard,medium,carbon,speed_work;race_day,no,no,low,240,SportsShoes,https://www.sportsshoes.com/product/bro3715/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/92490/521101/BRO3715_1000_1__17143.1785338263.jpg,,"Brooks' carbon plated racer. Very light, very fast, and saved for race day.",current
Brooks,Cascadia 20,trail,mild_support,balanced,36,6,306,standard;wide,medium,none,trail;easy_miles;long_run,yes,yes,high,140,SportsShoes,https://www.sportsshoes.com/product/bro3648/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/91492/514069/BRO3648_1000_1__54755.1782983908.jpg,https://runrepeat.com/uk/brooks-cascadia-20,"A tough, steady trail shoe with Vibram grip. Handles rough ground and wet rock.",current
Saucony,Ride 19,daily_trainer,neutral,balanced,37,8,255,standard;wide,medium,none,easy_miles;long_run;first_shoe;walking;gym,yes,yes,high,140,SportsShoes,https://www.sportsshoes.com/product/sau5440/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/85150/469965/SAU5440_1000_1__28556.1767867705.jpg,https://runrepeat.com/uk/saucony-ride-19,"A well balanced everyday shoe. Light enough to speed up, soft enough to plod.",current
Saucony,Triumph 24,max_cushion,neutral,plush,40,10,264,standard;wide,medium,none,easy_miles;long_run;comfort;walking;gym,yes,yes,high,170,SportsShoes,https://www.sportsshoes.com/product/sau5556/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/90595/507389/SAU5556_1000_1__87595.1780323436.jpg,,"Deep, soft cushioning that stays surprisingly light. One of the best long run shoes.",current
Saucony,Guide 19,stability,mild_support,balanced,37,6,280,standard;wide,medium,none,easy_miles;long_run;first_shoe;walking;gym,yes,yes,high,140,SportsShoes,https://www.sportsshoes.com/product/sau5603/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/91993/517577/SAU5603_1000_1__76001.1784114219.png,https://runrepeat.com/uk/saucony-guide-19,Quiet support that most people never notice. A good first stability shoe.,current
Saucony,Hurricane 26,stability,stability,plush,41,6,262,standard;wide,medium,none,easy_miles;long_run;comfort;walking;gym,yes,yes,high,170,SportsShoes,https://www.sportsshoes.com/product/sau5625/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/93088/525014/SAU5625_1000_1__88401.1786717026.jpg,,Loads of soft foam with support built in. Light for how much shoe it is.,current
Saucony,Endorphin Speed 5,tempo,neutral,balanced,38,8,237,standard;wide,medium,nylon,easy_miles;long_run;speed_work,no,no,medium,180,SportsShoes,https://www.sportsshoes.com/product/sau5191/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/79651/427874/SAU5191_1000_1__95364.1749824484.jpg,https://runrepeat.com/uk/saucony-endorphin-speed-5,A plated shoe you can actually train in every week. Fast but not fragile.,current
Saucony,Endorphin Pro 5,race,neutral,balanced,39,8,206,standard,medium,carbon,speed_work;race_day,no,no,low,250,SportsShoes,https://www.sportsshoes.com/product/sau5592/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/91961/517334/SAU5592_1000_1__59577.1784042326.jpg,https://runrepeat.com/uk/saucony-endorphin-pro-5,A proper carbon marathon racer that stays stable. Save it for your goal race.,current
Saucony,Peregrine 16,trail,neutral,firm,32,4,271,standard;wide,medium,none,trail;easy_miles,yes,yes,high,140,SportsShoes,https://www.sportsshoes.com/product/sau5568/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/92535/521298/SAU5568_1000_1__27380.1785417556.jpg,https://runrepeat.com/uk/saucony-peregrine-16,"Grippy, low to the ground and sure footed. Great on technical or muddy trails.",current
Saucony,Xodus Ultra 4,trail,neutral,plush,36,6,309,standard,medium,none,trail;easy_miles;long_run,yes,no,high,150,SportsShoes,https://www.sportsshoes.com/product/sau5566/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/92111/518468/SAU5566_1000_1__27719.1784297949.jpg,https://runrepeat.com/uk/saucony-xodus-ultra-4,Cushioned trail shoe for very long days out. Heavy but protective and grippy.,current
New Balance,Fresh Foam X 1080v15,daily_trainer,neutral,plush,40,6,255,narrow;standard;wide;extra_wide,wide,none,easy_miles;long_run;comfort;first_shoe;walking;gym,yes,yes,high,155,SportsShoes,https://www.sportsshoes.com/product/new696206/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/85792/474379/NEW696206_1000_1__24734.1769678547.jpg,https://runrepeat.com/uk/new-balance-1080-v-15,"Soft, roomy and light for its size. Comes in 2E and 4E widths.",current
New Balance,Fresh Foam X 880v15,daily_trainer,neutral,balanced,40,6,304,narrow;standard;wide;extra_wide,wide,none,easy_miles;long_run;comfort;first_shoe;walking,yes,yes,high,140,SportsShoes,https://www.sportsshoes.com/product/new695805/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/77017/407952/NEW695805_1000_9__42185.1741087239.jpg,https://runrepeat.com/uk/new-balance-fresh-foam-x-880-v-15,"A sturdy, no drama trainer that lasts. Widths up to 4E if you need room.",current
New Balance,Fresh Foam X 860v15,stability,stability,balanced,40,6,344,narrow;standard;wide;extra_wide,wide,none,easy_miles;long_run;comfort;first_shoe;walking,yes,yes,high,150,SportsShoes,https://www.sportsshoes.com/product/new696367/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/88529/492772/NEW696367_1000_1__46712.1775031530.jpg,https://runrepeat.com/uk/new-balance-fresh-foam-x-860-v-15,"Solid, supportive and heavy. Best if you want obvious control and a roomy fit.",current
New Balance,FuelCell Rebel v5,tempo,neutral,balanced,33,6,223,standard;wide;extra_wide,wide,none,easy_miles;speed_work,no,no,medium,140,SportsShoes,https://www.sportsshoes.com/product/new696868/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/92825/523299/NEW696868_1000_1__07559.1786094207.jpg,https://runrepeat.com/uk/new-balance-fuel-cell-rebel-v-5,"Light, bouncy and fun without a plate. A favourite for faster training runs.",current
New Balance,Fresh Foam X More v6,max_cushion,neutral,plush,44,4,306,standard;wide,wide,none,easy_miles;long_run;comfort;first_shoe;walking,yes,yes,high,150,SportsShoes,https://www.sportsshoes.com/product/new696297/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/89318/498154/NEW696297_1000_1__39798.1776763007.jpg,https://runrepeat.com/uk/new-balance-fresh-foam-x-more-v-6,"A huge slab of soft foam. Made for slow, comfortable miles and recovery days.",current
New Balance,FuelCell SuperComp Elite v6,race,neutral,plush,40,8,198,standard,medium,carbon,speed_work;race_day,no,no,low,230,SportsShoes,https://www.sportsshoes.com/product/new696739/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/92749/522691/NEW696739_1000_1__65696.1785939410.jpg,,"New Balance's top marathon racer. Very light, very soft and built to go fast.",current
New Balance,FuelCell SuperComp Trainer v3,max_cushion,neutral,plush,40,6,271,standard,medium,carbon,easy_miles;long_run;comfort;speed_work;race_day,yes,no,medium,210,SportsShoes,https://www.sportsshoes.com/product/new696302/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/89397/498696/NEW696302_1000_1__93270.1776853032.jpg,https://runrepeat.com/uk/new-balance-fuel-cell-super-comp-trainer-v-3,"A plated, super cushioned trainer for marathon build ups. Soft with a forward roll.",current
New Balance,Fresh Foam X Hierro v9,trail,neutral,plush,42,4,310,standard;wide;extra_wide,wide,none,trail;easy_miles;long_run,yes,yes,high,140,SportsShoes,https://www.sportsshoes.com/product/new696233/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/85339/471349/NEW696233_1000_1__26545.1768411377.jpg,https://runrepeat.com/uk/new-balance-fresh-foam-x-hierro-v9,Cushioned trail shoe with Vibram grip and rare wide fittings. Comfortable on rough ground.,current
On,Cloudsurfer 2,daily_trainer,neutral,balanced,37,9,261,standard,medium,none,easy_miles;long_run;first_shoe;walking;gym,yes,yes,medium,150,SportsShoes,https://www.sportsshoes.com/product/onr876/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/93012/524589/ONR876_1000_1__99446.1786609049.jpg,https://runrepeat.com/uk/on-cloudsurfer-2,Soft and easy going everyday shoe that suits steady runs and shorter distances.,current
